t_ns,t_s,goal_x,goal_y,goal_z
1772565602204951875,0.0,8.248567581176758,6.345767498016357,0.0
1772565602704801848,0.499849984,8.248567581176758,6.345767498016357,0.0
1772565603204928811,0.99997696,8.248567581176758,6.345767498016357,0.0
1772565603704906192,1.499954432,8.248567581176758,6.345767498016357,0.0
1772565604204868350,1.999916544,8.248567581176758,6.345767498016357,0.0
1772565604704871094,2.49991936,8.248567581176758,6.345767498016357,0.0
1772565605204789448,2.999837696,8.248567581176758,6.345767498016357,0.0
1772565605704861521,3.499909632,8.248567581176758,6.345767498016357,0.0
1772565606204793521,3.999841792,8.248567581176758,6.345767498016357,0.0
1772565606706459119,4.501507328,8.248567581176758,6.345767498016357,0.0
1772565607204774416,4.999822592,8.248567581176758,6.345767498016357,0.0
1772565607704828891,5.49987712,8.248567581176758,6.345767498016357,0.0
1772565608204866245,5.999914496,8.248567581176758,6.345767498016357,0.0
1772565608704827031,6.499875328,8.248567581176758,6.345767498016357,0.0
1772565609205483716,7.000531968,8.248567581176758,6.345767498016357,0.0
1772565609704894925,7.499943168,8.248567581176758,6.345767498016357,0.0
1772565610204864899,7.999913216,8.248567581176758,6.345767498016357,0.0
1772565610704843468,8.499891712,8.248567581176758,6.345767498016357,0.0
1772565611205840973,9.000889088,8.248567581176758,6.345767498016357,0.0
1772565611704746764,9.499794944,8.248567581176758,6.345767498016357,0.0
1772565612204892839,9.99994112,8.248567581176758,6.345767498016357,0.0
1772565612704819337,10.499867648,8.248567581176758,6.345767498016357,0.0
1772565613205329953,11.000378112,8.248567581176758,6.345767498016357,0.0
1772565613704900681,11.4999488,8.248567581176758,6.345767498016357,0.0
1772565614204842070,11.999890176,8.248567581176758,6.345767498016357,0.0
1772565614704767799,12.499815936,8.248567581176758,6.345767498016357,0.0
1772565615204919510,12.999967744,8.248567581176758,6.345767498016357,0.0
1772565615704765532,13.499813632,8.248567581176758,6.345767498016357,0.0
1772565616204773446,13.999821568,8.248567581176758,6.345767498016357,0.0
1772565616704840196,14.499888384,8.248567581176758,6.345767498016357,0.0
1772565617204749829,14.999798016,8.248567581176758,6.345767498016357,0.0
1772565617704854620,15.49990272,8.248567581176758,6.345767498016357,0.0
1772565618204776656,15.999824896,8.248567581176758,6.345767498016357,0.0
1772565618704788815,16.499836928,8.248567581176758,6.345767498016357,0.0
1772565619204720610,16.999768832,8.248567581176758,6.345767498016357,0.0
1772565619704897896,17.499945984,8.248567581176758,6.345767498016357,0.0
1772565620205609212,18.000657408,8.248567581176758,6.345767498016357,0.0
